"","EtOH1","EtOH2","EtOH3","TAM1","TAM2","TAM3"
"ENSMUSG00000090031",6.99099571022838,6.80450080008061,7.0119852988537,8.18836224856588,7.73550604118247,7.59039262470198
"ENSMUSG00000087247",7.25686648172954,6.52380544496883,5.15522774888403,8.24543599125911,10.0615559709512,7.13949348941969
"ENSMUSG00000103355",4.37985722618506,4.02772916284837,4.39244683912818,4.77818800164478,5.21534608472415,4.49638656014834
"ENSMUSG00000102706",4.87996051168635,4.56227785852408,4.39244683912818,5.25989986558116,5.55997188174316,4.35984518333378
"ENSMUSG00000103845",5.00724914723996,4.86592890070577,4.65614249629888,5.17316407412076,5.52243964936938,5.23739158060274
"ENSMUSG00000046330",10.5281529239136,10.9432509157695,10.2548334569636,9.93034351920255,10.1653678394035,9.78650865607415
"ENSMUSG00000039323",7.44827282215149,6.6295708709084,6.98797213427057,8.78748615837363,8.02296640207763,7.88501616363645
"ENSMUSG00000026185",17.1105009303425,17.4944135990488,17.9032054994238,17.0577905566067,15.7007205160648,17.3746813218952
"ENSMUSG00000026556",9.88324649890868,9.08447268674197,10.0646056468362,9.79610771713653,8.65424344021056,9.51744818332849
"ENSMUSG00000100044",4.80753956318287,5.93331657155871,5.15522774888403,5.02593460698238,4.91573404637058,5.38884607095133
"ENSMUSG00000100444",4.37985722618506,5.01417981050233,4.90968448201237,4.61161500144227,4.54576322830658,4.60047344120348
"ENSMUSG00000033952",6.61866692860281,7.74713506772263,7.79540133498453,8.10063365519132,8.38687309050851,7.3089510786628
"ENSMUSG00000100301",4.72687328330185,5.07950517148644,4.65614249629888,4.61161500144227,4.3950129704729,5.00735020163909
"ENSMUSG00000003458",12.4272698911665,12.3031893757548,12.3665245380116,12.4542058877458,12.2717529957248,12.102288518689
"ENSMUSG00000026553",14.3302712074197,14.4431635458799,14.090304284112,14.3746984437731,14.2942217587202,13.8370195951111
"ENSMUSG00000102779",4.87996051168635,5.44264712548653,4.97798225008735,5.02593460698238,4.91573404637058,4.60047344120348
"ENSMUSG00000003464",11.7106695559596,11.2250290329936,11.7908382858041,11.8496148629878,11.0454371178247,11.4980254426065
"ENSMUSG00000055322",13.1546552406994,12.5948855141858,13.1400642282321,13.5911533423108,13.7717547767448,13.07373945485
"ENSMUSG00000026365",5.53667863179121,4.86592890070577,4.97798225008735,6.19422725469466,6.69186079921203,6.04258605674345
"ENSMUSG00000026554",13.0051963157795,12.930966288142,13.0416534696646,13.224070701525,12.2445202470935,13.0082051751548
"ENSMUSG00000013698",13.2449293764076,12.4317688735876,12.5781182303259,13.015766803552,13.5856048038836,12.777209900336
"ENSMUSG00000061815",4.63466228005446,5.44264712548653,4.39244683912818,5.60999948103857,4.75650864121367,5.10636829945353
"ENSMUSG00000007122",5.60389398132395,5.2515179510615,5.5127812105537,5.57958661913057,5.48360567880323,5.52133113181549
"ENSMUSG00000092085",4.72687328330185,4.40678677262258,4.8348683072271,4.61161500144227,4.54576322830658,5.05824464126509
"ENSMUSG00000033740",5.11789904641836,5.01417981050233,4.75149470730567,5.69672717060439,5.10720071365097,5.00735020163909
"ENSMUSG00000101795",6.30483432551072,6.80450080008061,6.23252898559906,5.548341529996,6.0394830492914,5.69471229900798
"ENSMUSG00000026361",10.7249590870433,10.7546958196678,10.6859415759619,11.1510543609418,11.0706099366486,10.875841712729
"ENSMUSG00000006304",13.6304114756639,13.3881278551055,13.0174243626464,13.4867856951794,14.0950928977734,13.1619327405308
"ENSMUSG00000033849",4.87996051168635,5.1975530181729,5.30419664227022,6.17537629568807,5.4015578133481,5.31590757525715
"ENSMUSG00000038034",11.6400330329087,12.6503235133898,11.4642051538288,11.8803415519964,12.1619388635878,11.4735676600584
"ENSMUSG00000006299",12.1357323941561,11.7829744179109,12.0261569784485,12.2431422547912,12.2464149613859,11.9940673424338
"ENSMUSG00000018196",10.2685495220322,9.72158607780706,10.1281425156475,10.278573259091,10.2395508774061,9.86921521279542
"ENSMUSG00000018199",11.0252297463497,11.1457595371682,11.087873385606,11.354761634793,11.5970065271186,11.0383212758464
"ENSMUSG00000007097",6.32331698923675,7.55061215021611,6.02725443336551,6.43323410161511,7.38432309455737,7.19250548402813
"ENSMUSG00000038026",4.52449275406073,4.86592890070577,4.8348683072271,4.84802125783644,4.54576322830658,5.05824464126509
"ENSMUSG00000050229",10.3311407312788,9.99577323779514,10.2031773672028,10.4907884976134,10.4504252282225,9.96509001953359
"ENSMUSG00000026548",8.09192556524966,7.52402218164573,7.69623790390739,6.88182399425078,9.1137242490295,6.90477816719428
"ENSMUSG00000026179",8.99047951867321,8.88443862271529,9.04671394567602,9.33759975523856,9.13298634308853,9.2182723583501
"ENSMUSG00000103013",4.87996051168635,4.77949281487923,4.75149470730567,5.07771693066278,4.75650864121367,5.05824464126509
"ENSMUSG00000018189",9.02337245812428,9.65421701027982,9.23677183005493,9.18921240355805,9.74327108965965,9.18420137567024
"ENSMUSG00000100455",5.34831376999585,5.9617775077762,5.34931817344542,5.94748639791668,6.01439853912215,5.84583986478956
"ENSMUSG00000026360",10.1458140629143,11.8205005550506,10.9692021900088,9.9943261823825,9.07725357973155,9.97881269001303
"ENSMUSG00000006301",12.3028617511784,12.5568875796959,12.2555740342549,12.6173058145484,12.569377797412,12.1861199560351
"ENSMUSG00000103403",4.72687328330185,4.86592890070577,4.65614249629888,4.97084813108182,4.66051805745012,4.83256415831522
"ENSMUSG00000037995",7.3730730284656,7.18157568724982,7.54956621706819,6.35272258045993,7.17495972276681,6.69843548571421
"ENSMUSG00000073650",5.46519041162471,6.21608918263045,6.18963579037138,6.01377929920787,6.79441355177677,6.8054533246836
"ENSMUSG00000026547",12.6230987236643,12.8979538673683,12.2440883487127,11.9349175234831,14.1611964819395,11.7102748432011
"ENSMUSG00000097130",4.63466228005446,5.67828722345983,4.65614249629888,4.77818800164478,4.66051805745012,4.76398828541881
"ENSMUSG00000026177",4.72687328330185,5.01417981050233,4.75149470730567,5.33970013938851,4.91573404637058,5.19567976058824
"ENSMUSG00000035131",11.6038266824223,11.1806691680413,11.9846033616088,9.44993481121822,11.0094404621552,11.2215327507935
"ENSMUSG00000087627",5.50150921408718,4.9434503635141,5.68831563381067,4.36636332637254,5.16281709484073,5.00735020163909
"ENSMUSG00000026546",5.99076739972968,5.81247042252882,5.86940701368895,6.47931984359594,6.90299325741712,6.33165453257355
"ENSMUSG00000026176",11.2633578832823,10.6022217041707,11.1424009416526,11.02483932497,10.8306953597984,10.7454687130768
"ENSMUSG00000085184",5.16855071683614,5.64223076440035,5.20744115553431,5.60999948103857,5.21534608472415,5.52133113181549
"ENSMUSG00000049598",5.34831376999585,6.06961506762891,5.25699093726072,5.377401643555,5.48360567880323,5.72125802030532
"ENSMUSG00000053318",4.52449275406073,4.77949281487923,4.39244683912818,5.07771693066278,4.91573404637058,5.42351080737403
"ENSMUSG00000026544",9.06345931690565,8.93209853071043,9.3196086844569,8.4156952673407,7.82661761277772,7.57724000384685
"ENSMUSG00000037942",6.42913099518058,5.07950517148644,6.00228315382733,5.12667007264114,4.02772916284837,5.00735020163909
"ENSMUSG00000056220",10.6480233387855,10.8560245131207,9.28121918801083,11.0273376588058,12.1802259702883,10.7956613880208
"ENSMUSG00000097028",4.94610209025864,5.9617775077762,4.5421627156547,5.90126360053207,7.39355899821583,5.74722489376852
"ENSMUSG00000037872",4.63466228005446,4.77949281487923,4.8348683072271,5.07771693066278,4.75650864121367,4.89523831225404
"ENSMUSG00000032487",8.67905556980604,12.4317688735876,6.55009145912497,10.399229946712,14.3852419106263,9.94107520326265
"ENSMUSG00000101199",4.52449275406073,4.86592890070577,4.39244683912818,4.02772916284837,5.48360567880323,4.02772916284837
"ENSMUSG00000097754",5.46519041162471,6.72773313647497,5.09995017254319,6.71447814235196,8.94023856799681,6.31533819471732
"ENSMUSG00000099875",5.00724914723996,4.86592890070577,4.65614249629888,4.61161500144227,4.98446887775866,4.83256415831522
"ENSMUSG00000033364",9.25100611808035,9.87043503142962,9.3196086844569,9.43683272252842,9.31505183510244,9.18204494259662
"ENSMUSG00000103227",4.52449275406073,5.2515179510615,4.97798225008735,4.97084813108182,4.66051805745012,4.49638656014834
"ENSMUSG00000005338",7.42364713257661,6.94633512555474,7.33961140578433,7.27219342744057,7.43885608572738,7.1573871929539
"ENSMUSG00000026174",10.8207664877274,10.6849459567735,10.5371782773732,10.875461910449,11.1483322658591,10.3823075753373
"ENSMUSG00000037860",5.81266562062169,6.61250381767817,5.95081152132287,6.47931984359594,6.67656561436992,6.47016688503855
"ENSMUSG00000073490",9.26023180363468,11.0017936698697,8.81094314876581,10.1988011798111,8.94647489232674,9.83943748830496
"ENSMUSG00000073489",10.8622281050992,10.9011515787277,10.2659291341285,11.2436666891296,10.2991909492169,10.5891782301013
"ENSMUSG00000090222",6.99099571022838,8.32959751312827,6.76516361293837,7.67702321174921,6.75139370895194,6.95703650042618
"ENSMUSG00000090272",7.55785758000757,8.16808884819864,7.27201122220808,7.73967286626618,6.67656561436992,7.31691214353258
"ENSMUSG00000006010",11.6173426215574,11.7199536285367,11.5448540534159,11.9056828032664,11.4017085619612,11.4558404084282
"ENSMUSG00000026536",9.02878229284518,8.94210925190439,8.47873734946105,9.52082869308941,8.45414777086424,8.70849684690689
"ENSMUSG00000026173",5.46519041162471,5.67828722345983,5.43413340068576,5.02593460698238,5.10720071365097,5.84583986478956
"ENSMUSG00000039997",8.32569801208618,10.5584679303072,8.12947301940272,9.26319620506476,7.62258965429005,8.32597712750525
"ENSMUSG00000026535",11.8164058670681,11.7344112212632,11.3650876698588,12.3455404561048,10.9180875893878,11.5796845870206
"ENSMUSG00000103588",5.21663765452124,5.30270622959578,5.62127605398443,4.02772916284837,4.75650864121367,5.38884607095133
"ENSMUSG00000054203",12.0635148832542,12.181142985518,11.8333046339025,10.7289030932411,8.32110574966972,11.4744483300181
"ENSMUSG00000045381",5.00724914723996,4.86592890070577,5.09995017254319,5.33970013938851,4.3950129704729,5.05824464126509
"ENSMUSG00000047048",4.52449275406073,4.68058167073231,4.8348683072271,5.07771693066278,4.3950129704729,5.00735020163909
"ENSMUSG00000026135",10.6436263918265,10.5333292540784,10.6076744623146,10.771999070622,10.3388081140294,10.4907551070054
"ENSMUSG00000006005",13.2948479345594,13.2985371423688,13.2572658038563,13.569461607738,13.5965393985089,13.2440113663606
"ENSMUSG00000026532",13.8706525523287,12.147327184102,13.3251302704592,12.8341784967111,10.0163640370525,11.9561111303175
"ENSMUSG00000026172",8.79476371857478,8.52450770656842,8.44869710426473,8.62518713614316,8.3543660166495,8.27011762464132
"ENSMUSG00000050788",6.2282054598547,4.86592890070577,5.65527635327278,5.63963075596214,4.66051805745012,4.89523831225404
"ENSMUSG00000028354",5.16855071683614,6.74343245092695,5.78224912287946,5.75119359540524,5.96268979148008,5.7726413154141
"ENSMUSG00000050069",11.8018796791896,12.7032198836395,10.7809525439882,13.0508764094506,14.2890224848884,12.3539095378191
"ENSMUSG00000026171",9.787628891651,10.192937889389,9.61023137615646,10.1764615836604,9.84684233495519,9.91015756327119
"ENSMUSG00000006014",8.84777542284992,10.2054480220296,11.2337572377645,8.53308916988619,9.05722612555444,9.97508307654255
"ENSMUSG00000026526",11.0493629686914,10.4162408986887,10.7688713234077,10.815291183001,11.0425320526843,10.6835988480587
"ENSMUSG00000026525",6.34154589527173,5.81247042252882,6.29435265815174,6.05612415142038,6.11191312375766,5.61127859065689
"ENSMUSG00000033276",8.11760369067492,8.72346576260254,8.43124491010024,9.0584095473304,7.69140753868356,8.59303151269004
"ENSMUSG00000078185",8.53430549687123,8.10994019790442,8.51231711234369,8.72104218544949,8.52676763459067,8.32988511053547
"ENSMUSG00000066842",13.6242883807993,12.3433579183833,13.5880889817206,14.9402569481862,13.2055074627104,14.2021259743632
"ENSMUSG00000093650",5.16855071683614,4.77949281487923,5.55011036161332,6.30197421508514,5.52243964936938,5.69471229900798
"ENSMUSG00000033257",9.84238367831872,10.0195845863656,9.82054154032962,9.7990356438324,9.79598656300063,9.51573728182485
"ENSMUSG00000026170",7.83738715450992,8.70789784378767,8.68416922064909,6.80068240396754,6.94161688859909,7.4673915643123
"ENSMUSG00000006542",4.72687328330185,4.68058167073231,4.5421627156547,5.17316407412076,5.4015578133481,5.15208365944375
"ENSMUSG00000026197",9.11013545596934,9.42374558285573,9.06660665454633,9.29673966805629,8.89903026703125,8.912264914792
"ENSMUSG00000026198",6.47906178581481,6.26147266964964,6.42830426165738,6.3855109777616,6.18049274126795,6.24798429228105
"ENSMUSG00000033124",10.36785832977,10.2979154870188,10.1022374795203,10.8796159018187,10.553001102753,10.5562793294484
"ENSMUSG00000026199",9.64353386555192,9.86868801042567,9.62945521787624,10.0543653972381,9.08292492072763,9.48283820000292
"ENSMUSG00000026200",9.89956789110404,8.61495652733248,9.74500413946135,10.2403160364173,9.15199422156436,9.79217250460195
"ENSMUSG00000026201",10.5195399980985,9.84400480951587,10.2757207995235,10.5132436521561,10.5334751642082,10.2589162683624
"ENSMUSG00000026202",10.8644969537155,10.7938781460867,10.1825060753865,10.9042917295969,12.2661606549457,10.8428026397615
"ENSMUSG00000026203",10.7716446588866,10.7518559294794,10.8056605929298,11.2575651148199,10.4872157848427,10.9479994527632
"ENSMUSG00000026204",7.98992042947167,9.19740539104706,7.43971320183791,11.8149697145153,12.2893204002873,10.4785150665801
"ENSMUSG00000026209",11.1940908640095,10.7947982083631,11.0312034480875,11.484062300716,11.4336575429782,11.1544263184822
"ENSMUSG00000026208",5.00724914723996,5.39802326625774,4.65614249629888,5.548341529996,5.55997188174316,5.89231729816378
