occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,class,order,family,genus,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3
1304781,occ,,,174662,n. gen. Losodokodon n. sp. losodokius,species,331893,,Losodokodon losodokius,species,331893,Late Oligocene,,28.4,23.03,57046,Chordata,Mammalia,Proboscidea,Mammutidae,Losodokodon,35.796261,3.35862,KE,Turkana,,based on nearby landmark,5,small collection,,gplates,712,mid,35.0,-4.29,scotese,712,mid,32.03,0.86,seton,712,mid,32.13,-0.24
1304782,occ,,,174662,Prodeinotherium sp.,genus,43281,,Prodeinotherium,genus,43281,Late Oligocene,,28.4,23.03,57046,Chordata,Mammalia,Proboscidea,Deinotheriidae,Prodeinotherium,35.796261,3.35862,KE,Turkana,,based on nearby landmark,5,small collection,,gplates,712,mid,35.0,-4.29,scotese,712,mid,32.03,0.86,seton,712,mid,32.13,-0.24
1304793,occ,,,174664,Losodokodon losodokius,species,331893,,Losodokodon losodokius,species,331893,Aquitanian,,23.03,20.44,57046,Chordata,Mammalia,Proboscidea,Mammutidae,Losodokodon,35.849998,2.33,KE,Rift Valley,,based on nearby landmark,2,small collection,"100 km south of Losodok, in the area near Loperot",gplates,712,mid,35.19,-4.15,scotese,712,mid,32.98,0.62,seton,712,mid,32.73,-0.59
1304794,occ,,,174664,Prodeinotherium sp.,genus,43281,,Prodeinotherium,genus,43281,Aquitanian,,23.03,20.44,57046,Chordata,Mammalia,Proboscidea,Deinotheriidae,Prodeinotherium,35.849998,2.33,KE,Rift Valley,,based on nearby landmark,2,small collection,"100 km south of Losodok, in the area near Loperot",gplates,712,mid,35.19,-4.15,scotese,712,mid,32.98,0.62,seton,712,mid,32.73,-0.59
1304861,occ,,,174673,aff. Phiomia indet.,genus,43252,,Phiomia,genus,43252,Late Oligocene,,28.4,23.03,57050,Chordata,Mammalia,Proboscidea,NO_FAMILY_SPECIFIED,Phiomia,35.57,2.22,KE,,,stated in text,2,outcrop,"Some specimens given as just locality 1, or locality 2, whereas others listed as 1/2",gplates,712,mid,34.77,-5.43,scotese,712,mid,31.83,-0.28,seton,712,mid,31.93,-1.38
1304870,occ,,,166975,aff. Phiomia indet.,genus,43252,,Phiomia,genus,43252,Late Oligocene,,28.4,23.03,57050,Chordata,Mammalia,Proboscidea,NO_FAMILY_SPECIFIED,Phiomia,35.57,2.22,KE,,,stated in text,2,outcrop,"Some specimens given as just locality 1, or locality 2, whereas others listed as 1/2",gplates,712,mid,34.77,-5.43,scotese,712,mid,31.83,-0.28,seton,712,mid,31.93,-1.38
1307663,occ,,,174667,Numidotherium n. sp. savagei,species,157871,,Numidotherium savagei,species,157871,Bartonian,Late Eocene,41.3,33.9,59616,Chordata,Mammalia,Proboscidea,Numidotheriidae,Numidotherium,17.833332,25.75,LY,,,stated in text,minutes,small collection,West of the escarpment,gplates,715,mid,20.01,15.84,scotese,715,mid,13.82,21.05,seton,715,mid,13.17,20.55
1307780,occ,,,56682,Phiomia ? indet.,genus,43252,,Phiomia,genus,43252,Rupelian,,33.9,28.1,57310,Chordata,Mammalia,Proboscidea,NO_FAMILY_SPECIFIED,Phiomia,12.183,-5.333,AO,Cabinda,,unpublished field data,3,,,gplates,701,mid,11.28,-12.77,scotese,701,mid,7.92,-8.08,seton,701,mid,7.74,-9.73
1307785,occ,,,162464,Phiomia sp.,genus,43252,,Phiomia,genus,43252,Early Oligocene,,33.9,28.4,52916,Chordata,Mammalia,Proboscidea,NO_FAMILY_SPECIFIED,Phiomia,54.41861,17.060833,OM,Dhofar,,estimated from map,seconds,,,gplates,503,mid,51.32,4.4,scotese,503,mid,47.43,10.04,seton,503,mid,47.63,9.89
1309597,occ,,,175727,Gomphotherium angustidens,species,157812,,Gomphotherium angustidens,species,157812,MN 5,,15.97,13.65,57549,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,10.031,48.094501,DE,Baden-Wurttemberg,Biberach,based on nearby landmark,4,small collection,"Abandoned sand pit above the eastern bank of the Baierzer Rot creek at the flank of a hill called Maurerkopf or Maurerberg, about 17 km west of Biberach/Riß in the southwest of Baden-Wurttemberg, southern Germany. Coordinate stated as 48º05'40.82""N, 10º01'51.93""’E in Salvador et al. 2015.",gplates,305,mid,12.01,45.28,scotese,305,mid,8.65,48.3,seton,331,mid,6.89,46.98
