"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name"
"ENSMUSG00000067851",4794.6275806502,0.129512286226665,0.190931327741687,0.353276154439817,0.794335561038425,"Arfgef1"
"ENSMUSG00000102556",3.99980871173875,-0.0598233190268172,0.269794449946525,0.212502608819243,0.671801150910645,"ENSMUSG00000102556"
"ENSMUSG00000038608",12.9396559290516,0.0820308598446116,0.280931138171286,0.0429554052037457,0.315642176540767,"Dock10"
"ENSMUSG00000042501",541.361184323273,0.168199953510827,0.245763007850694,0.240631833295235,0.704707511793187,"Cpa6"
"ENSMUSG00000103810",10.8061354298536,0.15261230358794,0.308792978740363,0.106465212570605,0.497895632443714,"ENSMUSG00000103810"
"ENSMUSG00000083422",11.3160758964058,-0.037737782252763,0.248242600783785,0.680881210609104,0.936349902258169,"ENSMUSG00000083422"
"ENSMUSG00000042641",3.9761415229083,0.021836335657221,0.257939360030572,0.720866672228646,0.945308602444188,"Rgsl1"
"ENSMUSG00000045968",12.6853314902101,0.273397367874117,0.434811437092236,0.0412908968301404,0.31023041347893,"Teddm2"
"ENSMUSG00000026107",765.077636468173,1.28636392826908,0.658545225682768,0.00175281499995655,0.0426848457019641,"Nabp1"
"ENSMUSG00000026473",1706.71661191032,0.0752418000440038,0.24876563923266,0.488122124417851,0.863092110474421,"Glul"
"ENSMUSG00000055980",3455.18345569212,-0.0117479868427913,0.246444157757776,0.883296673718505,0.979704814241532,"Irs1"
"ENSMUSG00000048960",5563.95161026292,-1.93072715898016,0.495401130731654,4.14941437366747e-06,0.000457719923647652,"Prex2"
"ENSMUSG00000101827",13.4217827627223,-0.122525262572995,0.289121465664469,0.153671282209918,0.58755291942669,"ENSMUSG00000101827"
"ENSMUSG00000026142",2603.81173509413,0.0443460024233854,0.174257066126975,0.739005191214065,0.951516062784066,"Rhbdd1"
"ENSMUSG00000104493",15.6335597896534,0.0278739141374802,0.251952801682295,0.732931453906775,0.949515518213821,"ENSMUSG00000104493"
"ENSMUSG00000100786",5.59898999025191,-0.0825571972316477,0.272995538168464,0.2323087153282,0.696144551861168,"ENSMUSG00000100786"
"ENSMUSG00000067158",38.7756638202993,0.07562415317112,0.241701396383662,0.515135028398343,0.877989307589478,"Col4a4"
"ENSMUSG00000079465",20.5737370251157,0.0639311080515942,0.259264192009865,0.450120567073133,0.845301671541278,"Col4a3"
"ENSMUSG00000004110",3.72502451933244,0.161255493026457,0.340544582251698,0.00092908658610314,NA,"Cacna1e"
"ENSMUSG00000097564",10.465968412365,0.111335027644258,0.28345097315502,0.177155190887475,0.624270773441087,"ENSMUSG00000097564"
"ENSMUSG00000096950",26.1216343191844,0.490665162011081,0.54418270139547,0.0245182326078252,0.23241528730855,"Gm9530"
"ENSMUSG00000056708",2528.63291508531,0.255668661595447,0.318403113201753,0.102472148274545,0.491404294744764,"Ier5"
"ENSMUSG00000026471",1982.70418357722,-0.00711531726025411,0.22174006093579,0.95029321212616,0.990005812695241,"Mr1"
"ENSMUSG00000057715",6.84474656049471,0.0341863040978957,0.260290280867894,0.564245890019992,0.897182713753327,"A830018L16Rik"
"ENSMUSG00000026470",2399.46910565544,0.399443555791292,0.286846413403453,0.0299695670534225,0.260626943516671,"Stx6"
"ENSMUSG00000104181",9.02321002256075,-0.0070319384861702,0.247896395041437,0.932605813529893,0.986813476222645,"ENSMUSG00000104181"
"ENSMUSG00000097628",5.77750860400961,-0.0281517982507152,0.259771953575307,0.617184098066061,0.916777122891518,"ENSMUSG00000097628"
"ENSMUSG00000033722",1238.2589505434,0.0376513877361775,0.186753395132908,0.778732379051841,0.960182617846306,"BC034090"
"ENSMUSG00000103670",8.48178967222254,0.0735978809112126,0.263574705992757,0.376507690325597,0.806998409020316,"ENSMUSG00000103670"
"ENSMUSG00000026150",2811.54648355764,0.0496500099725904,0.172944480709604,0.728921625246551,0.948620971132713,"Mff"
"ENSMUSG00000101450",61.4487441951284,-0.0309483777412757,0.223317454988632,0.796171033717737,0.9633276634538,"ENSMUSG00000101450"
"ENSMUSG00000026469",2991.15719782351,0.190699234207886,0.184996364908062,0.174252816996314,0.619636354013996,"Xpr1"
"ENSMUSG00000073535",4.86939508625672,0.0916483898009602,0.279761530286109,0.147529158718428,0.578381715542606,"Gm5532"
"ENSMUSG00000018417",4950.3393687286,0.117247058237013,0.247493958530688,0.353099366156515,0.794260303991466,"Myo1b"
"ENSMUSG00000026490",8119.01078989657,0.204833438160936,0.257981753331354,0.166476748054119,0.609471966601922,"Cdc42bpa"
"ENSMUSG00000033701",1670.74707894235,-0.176645134234515,0.223281861611876,0.224088107225082,0.684862112048771,"Acbd6"
"ENSMUSG00000102194",4.0312930485466,0.00582440389305522,0.25624100759894,0.927246112762909,0.986165115017576,"ENSMUSG00000102194"
"ENSMUSG00000103636",11.7704717365608,-0.0576374563856967,0.258206127664406,0.480001019705583,0.859567710563926,"ENSMUSG00000103636"
"ENSMUSG00000109599",10.6220483789859,0.00205163203689686,0.256416921441154,0.976502138434977,0.994575900264957,"ENSMUSG00000109599"
"ENSMUSG00000033684",11232.6374308081,0.256231656623435,0.245387193556033,0.106652319720326,0.49810503756479,"Qsox1"
"ENSMUSG00000102299",3.14550614912665,0.0707408487525041,0.274526411849861,0.121902744774384,NA,"ENSMUSG00000102299"
"ENSMUSG00000016918",7966.24774545663,1.22769490633927,0.333607674631084,1.47081031301559e-05,0.00126190077411134,"Sulf1"
"ENSMUSG00000033671",3712.64992563119,0.114340674635364,0.196592892774405,0.406250258387509,0.824382729606496,"Cep350"
"ENSMUSG00000102833",3.3574590042917,0.0643517175482114,0.270189781192611,0.22837710474736,NA,"ENSMUSG00000102833"
"ENSMUSG00000026489",336.934695434626,0.0428452786748384,0.242569739177198,0.681975972405577,0.936563841314858,"Coq8a"
"ENSMUSG00000025938",233.813655958309,-0.0515170795944545,0.255215443565425,0.539610801980241,0.888578939248074,"Slco5a1"
"ENSMUSG00000026159",3092.02039420785,0.0370417146844267,0.194812345520387,0.783722055330235,0.960697820580664,"Agfg1"
"ENSMUSG00000038496",6.03971991480161,0.0188499973579814,0.254402023887487,0.793354422106543,0.962848803571685,"Slc19a3"
"ENSMUSG00000064302",6201.95393944316,0.134165242916558,0.198145584938183,0.342336658005526,0.787884431493217,"Clasp1"
"ENSMUSG00000107722",4.11427905697911,0.0685275329278515,0.26950642718841,0.266400538979693,0.726126605143648,"2900060B14Rik"
"ENSMUSG00000026466",2680.62002195792,0.12687440138385,0.216255571645878,0.363497351619375,0.799260227133715,"Tor1aip1"
"ENSMUSG00000102964",37.5779080029212,0.0145976376264257,0.242193798411859,0.883784473274925,0.979832044967741,"ENSMUSG00000102964"
"ENSMUSG00000026380",6.97913297903556,0.224036509281079,0.398955746892904,0.0233409548909054,0.226113212774835,"Tfcp2l1"
"ENSMUSG00000010609",1025.76972939692,0.0819906938634972,0.216882903591654,0.537070316788726,0.888295135352072,"Psen2"
"ENSMUSG00000055676",25.621853705524,0.0682206962200912,0.253388228322156,0.487165641264741,0.863092110474421,"ENSMUSG00000055676"
"ENSMUSG00000026163",14.9920811094335,0.0265956996870392,0.257996398528784,0.674863677888581,0.933774184269554,"Sphkap"
"ENSMUSG00000038855",1760.91002571348,0.158172468089375,0.259418060135486,0.24357502915456,0.70853871627234,"Itpkb"
"ENSMUSG00000104388",16.1265773759634,0.0914552294958196,0.268807860157852,0.303505726356982,0.760076773087512,"ENSMUSG00000104388"
"ENSMUSG00000103772",5.99926669365858,0.0798395468028664,0.273151682953762,0.22236208255785,0.683023680604376,"ENSMUSG00000103772"
"ENSMUSG00000045658",1188.42115039547,-0.0588367857273894,0.250111818916484,0.544303287465917,0.889562130521983,"Pid1"
"ENSMUSG00000050565",5268.31892841519,0.283152811406711,0.236959218597856,0.0778250674252623,0.42977687847992,"Tor1aip2"
"ENSMUSG00000048402",507.603579935342,0.340790870009082,0.603552477706091,0.0193910856746269,0.202062309581657,"Gli2"
"ENSMUSG00000037035",7886.92842219555,1.8842366221288,0.363352413882874,1.18851497937286e-08,2.8604622854205e-06,"Inhbb"
"ENSMUSG00000036766",91.4737897730789,0.21068264215925,0.393708878942673,0.0103586333965385,0.138832196504732,"Dner"
"ENSMUSG00000005886",3944.3293593518,0.0659761565845967,0.224965814225601,0.584864782853298,0.904175012908004,"Ncoa2"
"ENSMUSG00000004451",1974.13762574455,0.113611765258943,0.208062782212515,0.414799738609529,0.827227174957558,"Ralb"
"ENSMUSG00000103506",16.6082360735559,-0.0905954148316084,0.268959992463325,0.299149350953992,0.755290977095282,"ENSMUSG00000103506"
"ENSMUSG00000103495",5.0627239244236,-0.0378427346407158,0.259135285123853,0.561873142508112,0.896411736988598,"ENSMUSG00000103495"
"ENSMUSG00000098923",514.453826371291,0.103155881798064,0.222408078353006,0.442103270406373,0.842148517654986,"Tmem185b"
"ENSMUSG00000104170",3.34688878763466,-0.0272973812284901,0.261475257873433,0.574463046757887,NA,"ENSMUSG00000104170"
"ENSMUSG00000103085",12.5285391778757,0.000272514651213215,0.249540959697814,0.999737427671199,0.999953260449193,"ENSMUSG00000103085"
"ENSMUSG00000102664",13.4901615742943,0.0208573182393231,0.253309534230837,0.783932926314223,0.960697820580664,"ENSMUSG00000102664"
"ENSMUSG00000101476",4.45290781961723,-0.0355475196824587,0.258044631299962,0.597988910287613,0.909771815569334,"ENSMUSG00000101476"
"ENSMUSG00000026496",1659.76051328602,-0.240990261346782,0.250084223640204,0.119949818507951,0.526631138732375,"Parp1"
"ENSMUSG00000025935",5058.15292245513,-0.256115437174852,0.233622753650561,0.101043144000766,0.487765445330085,"Tram1"
"ENSMUSG00000025937",1123.97614184184,0.119230188162225,0.218900896601933,0.389077813183796,0.81392977923924,"Lactb2"
"ENSMUSG00000102982",22.1344236969214,-0.0193423118077653,0.243528944653002,0.837844574138003,0.971418104184351,"ENSMUSG00000102982"
